value,time
10.0,0
9.96,1
8.75,2
9.64,3
9.81,4
10.17,5
9.2,6
8.85,7
8.79,8
9.71,9
8.25,10
7.91,11
6.45,12
5.16,13
6.53,14
7.56,15
8.24,16
9.15,17
7.89,18
8.73,19
9.39,20
10.05,21
9.6,22
10.18,23
10.16,24
8.24,25
6.66,26
5.02,27
3.05,28
2.35,29
2.16,30
2.49,31
2.78,32
3.2,33
0.87,34
-0.51,35
-1.86,36
-1.74,37
-1.92,38
-2.43,39
-1.59,40
-1.68,41
-1.49,42
-0.52,43
0.6,44
1.53,45
0.75,46
3.68,47
3.92,48
3.37,49
4.08,50
4.31,51
2.45,52
3.34,53
4.45,54
5.57,55
5.99,56
5.53,57
5.42,58
5.17,59
4.04,60
3.0,61
2.55,62
1.99,63
2.21,64
-0.6,65
2.44,66
2.93,67
2.94,68
1.44,69
-0.2,70
0.72,71
0.93,72
0.39,73
1.64,74
1.82,75
1.74,76
0.59,77
0.5,78
1.37,79
0.61,80
0.58,81
-0.12,82
1.52,83
1.36,84
0.17,85
2.43,86
0.56,87
-0.72,88
-0.57,89
-0.68,90
-0.99,91
-2.35,92
-3.7,93
-2.18,94
-3.31,95
-4.34,96
-5.95,97
-7.4,98
-6.47,99
-6.43,100
-6.92,101
-6.78,102
-6.08,103
-6.06,104
-5.31,105
-5.11,106
-4.63,107
-5.0,108
-3.16,109
-1.86,110
-0.79,111
-0.9,112
-1.36,113
-1.1,114
-1.04,115
-2.17,116
-1.88,117
-3.36,118
-4.4,119
-2.93,120
-3.87,121
-3.3,122
-5.1,123
-6.4,124
-7.01,125
-7.5,126
-7.23,127
-8.7,128
-9.54,129
-9.83,130
-8.42,131
-7.77,132
-7.65,133
-8.28,134
-9.1,135
-9.53,136
-8.18,137
-8.63,138
-10.08,139
-9.98,140
-11.11,141
-12.56,142
-12.52,143
-12.23,144
-12.66,145
-11.3,146
-13.11,147
-14.02,148
-15.09,149
-17.71,150
-18.37,151
-17.83,152
-18.0,153
-17.28,154
-18.52,155
-19.11,156
-18.1,157
-18.22,158
-19.17,159
-20.58,160
-21.1,161
-20.92,162
-20.64,163
-21.38,164
-23.1,165
-23.22,166
-23.33,167
-24.88,168
-24.73,169
-24.18,170
-23.6,171
-22.21,172
-21.42,173
-21.63,174
-21.2,175
-19.5,176
-20.72,177
-21.49,178
-19.15,179
-18.13,180
-18.24,181
-17.74,182
-18.87,183
-19.11,184
-18.62,185
-17.52,186
-17.91,187
-18.84,188
-19.42,189
-18.3,190
-19.94,191
-19.53,192
-20.2,193
-19.88,194
-18.96,195
-18.29,196
-17.78,197
-17.85,198
-17.37,199
-16.73,200
-14.86,201
-15.48,202
-16.66,203
-17.25,204
-16.98,205
-16.29,206
-16.02,207
-15.75,208
-15.54,209
-15.94,210
-16.6,211
-16.69,212
-15.82,213
-14.58,214
-13.25,215
-11.4,216
-11.89,217
-11.15,218
-11.98,219
-14.88,220
-14.14,221
-15.39,222
-15.1,223
-15.88,224
-16.34,225
-17.13,226
-17.19,227
-18.07,228
-18.02,229
-18.74,230
-18.59,231
-16.99,232
-17.65,233
-16.74,234
-16.19,235
-16.2,236
-16.6,237
-13.8,238
-14.14,239
-13.01,240
-11.68,241
-10.7,242
-10.45,243
-12.37,244
-14.3,245
-15.0,246
-13.73,247
-12.5,248
-14.22,249
-14.04,250
-14.49,251
-14.53,252
-14.08,253
-15.04,254
-14.53,255
-12.71,256
-11.43,257
-11.55,258
-11.99,259
-12.03,260
-13.43,261
-12.76,262
-13.0,263
-12.23,264
-11.32,265
-10.6,266
-9.68,267
-10.0,268
-10.49,269
-9.41,270
